horizon,model,phase_offset,n,mae_skill_zero,brier_skill_frequency,direction_accuracy
30,turkey,13,1,0.0014280239894739616,-0.18552849377188585,0.0
30,turkey,24,3,0.010426273853123863,0.21881093536241064,0.6666666666666666
30,turkey,25,2,-0.002472535792888274,-0.014905541688849389,0.0
30,turkey,26,1,-0.014883134845266271,-0.23482916066409132,0.0
30,turkey,28,1,-0.01594590908381524,0.14158456270273168,1.0
30,combined,0,1,0.0014006972252262884,0.02206394028897729,0.0
30,combined,1,3,0.001554215529692482,0.03752308612035571,0.6666666666666666
30,combined,2,4,0.009079966368789834,0.2678497672275778,1.0
30,combined,3,1,0.0021855157730469137,-0.13504515460327676,1.0
30,combined,5,1,0.0268346098059168,0.543792225903841,1.0
30,combined,7,1,0.02775888549468903,0.4769130782642329,1.0
30,combined,8,1,-0.00045576998582789845,0.2050974734770027,1.0
30,combined,9,3,-0.02360941861939033,-0.14200203080459628,0.3333333333333333
30,combined,10,2,0.011005406193555237,0.25013784369366443,1.0
30,combined,12,2,0.015859805789564606,0.06753946959259283,0.5
30,combined,13,1,-0.009782276318227923,-0.4836298168020349,0.0
30,combined,24,3,0.01174084954009906,0.24240972548453815,1.0
30,combined,25,2,0.0016719360888674054,0.19569092684566058,0.5
30,combined,26,1,-0.014218507440727095,-0.16328517339891557,0.0
30,combined,28,1,0.008627195850527684,0.47410224156626557,1.0
30,nonlinear,0,1,-0.006801834114150848,-0.1393919877838251,0.0
30,nonlinear,1,3,-0.002718204421433914,0.05183122205255858,0.6666666666666666
30,nonlinear,2,4,0.0023259985889899568,0.22846596848308198,0.75
30,nonlinear,3,1,0.00792827980322823,-0.13604698765910145,1.0
30,nonlinear,5,1,0.028017878363240305,0.5062167848826111,1.0
30,nonlinear,7,1,0.028538682736848082,0.47920415028508984,1.0
30,nonlinear,8,1,0.004387229343808075,0.1907545792489731,1.0
30,nonlinear,9,3,-0.024781892648003713,-0.1814517149170788,0.3333333333333333
30,nonlinear,10,2,0.013883555914556013,0.27864703705159044,1.0
30,nonlinear,12,2,0.012548692346844997,-0.0027052261748117257,0.5
30,nonlinear,13,1,-0.01807562705986237,-0.6641931099425676,0.0
30,nonlinear,24,3,0.01108319905264226,0.20945247790830007,1.0
30,nonlinear,25,2,0.0026239657508978775,0.24752335077639975,1.0
30,nonlinear,26,1,-0.016060965812605264,-0.13084163072801358,0.0
30,nonlinear,28,1,0.003269223121699364,0.3503722037192425,1.0
45,baseline,1,1,0.0,0.0,1.0
45,baseline,3,1,0.0,0.0,0.0
45,baseline,5,1,0.0,0.0,0.0
45,baseline,9,1,0.0,0.0,1.0
45,baseline,10,1,0.0,0.0,1.0
45,baseline,12,1,0.0,0.0,0.0
45,baseline,15,1,0.0,0.0,0.0
45,baseline,16,2,0.0,0.0,1.0
45,baseline,22,1,0.0,0.0,0.0
45,baseline,23,1,0.0,0.0,1.0
45,baseline,24,2,0.0,0.0,0.5
45,baseline,25,2,0.0,0.0,1.0
45,baseline,32,4,0.0,0.0,0.75
45,baseline,39,3,0.0,0.0,0.6666666666666666
45,baseline,40,1,0.0,0.0,1.0
45,baseline,41,1,0.0,0.0,0.0
45,baseline,42,1,0.0,0.0,1.0
45,baseline,43,2,0.0,0.0,0.5
45,internal,1,1,0.022003996111783816,0.19331606615429592,1.0
45,internal,3,1,-0.07160726592791399,-0.1821665122226811,0.0
45,internal,5,1,-0.007821692348929904,0.22301352998816526,0.0
45,internal,9,1,-0.00010402797639269892,0.16588683959670247,1.0
45,internal,10,1,0.030976250455782034,0.24123158498877564,1.0
45,internal,12,1,-0.002169800716789398,0.2902971377547039,0.0
45,internal,15,1,-0.03330837039248512,-0.3381605480224684,0.0
45,internal,16,2,-0.03926431911260098,-0.15483674200343833,0.5
45,internal,22,1,-0.010259412012753696,0.11578171154732264,0.0
45,internal,23,1,-0.010348074168785762,0.014230921408444952,1.0
45,internal,24,2,0.009787492996697164,0.19236173029765125,1.0
45,internal,25,2,0.007808272730649296,0.16512125980198233,1.0
45,internal,32,4,0.0030958806659953444,0.16542010556298825,1.0
45,internal,39,3,-0.015129408262097424,-0.031675868113439365,0.3333333333333333
45,internal,40,1,0.024454182197516407,0.18338233794956446,1.0
45,internal,41,1,-0.04401168796534525,-0.1708728514461707,0.0
45,internal,42,1,0.02682244882063322,0.07438377416753617,1.0
45,internal,43,2,-0.005220213363016216,-0.12794963094710055,0.5
45,local,1,1,0.028711569090979883,0.1956272223197121,1.0
45,local,3,1,-0.07606767540260694,-0.37435551565861525,0.0
